Hướng;Đường trước nhà(m);Loại BDS;Pháp lý;Số lầu;Số phòng ngủ;Giá(Tỷ);Diện tích(m2);Địa chỉ;Tỉnh/ Thành phố;Quận/ Huyện;Mật độ dân số (người/km²);GDPD(%)
_;30.0;1;1;6;6;10.5;60.0; Đường Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
Tây Nam;30.0;1;1;1;1;5.3;245.0; 86 Quốc lộ 1A, Xã Bình Minh, Huyện Trảng Bom, Đồng Nai;9;Trảng Bom;1.079;5.3
_;15.0;1;1;3;4;9.1;91.0; Đường Nguyễn Thị Định, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng;8;Sơn Trà;2.483;2.58
_;30.0;1;1;5;5;46.0;180.0; Đường Lê Văn Việt, Phường Tăng Nhơn Phú B, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
_;10.0;2;1;3;4;11.0;82.0; Đường Đinh Tiên Hoàng, Phường 3, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;12.0;2;1;4;16;11.4;306.0; Đường Phan Huy Ích, Phường 14, Quận Gò Vấp, Hồ Chí Minh;7;Gò Vấp;34.36;5.81
_;32.0;1;1;5;6;25.0;150.0; Đường Nguyễn Văn Cừ, Phường 2, Quận 5, Hồ Chí Minh;7;Quận 5;36.994;5.81
_;2.0;2;1;4;4;3.15;31.0; Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;5.0;2;0;2;3;5.6;98.0; Đường Đông Hưng Thuận 2, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh;7;Quận 12;11.745;5.81
Tây;8.0;2;1;4;4;6.88;76.0; Đường Lê Văn Quới, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh;7;Bình Tân;15.109;5.81
