Hướng,Đường trước nhà(m),Loại BDS,Pháp lý,Số lầu,Số phòng ngủ,Giá(Tỷ),Diện tích(m2),Tỉnh/ Thành phố,Quận/ Huyện,Mật độ dân số (người/km²),GRDP(%)
Bắc,15.0,0,1,3,4,19.5,120.0,3,Hoàng Mai,12.564,6.27
Đông Nam,15.0,0,1,3,5,18.2,120.0,3,Hoàng Mai,12.564,6.27
Đông Nam,6.0,1,1,7,6,22.0,60.0,3,Hoàn Kiếm,25.588,6.27
Tây Nam,20.0,1,1,5,4,25.0,60.0,3,Tây Hồ,6.578,6.27
Tây Nam,10.0,1,1,5,6,16.9,105.0,3,Hà Đông,8.021,6.27
Nam,4.0,2,1,5,13,9.5,53.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,1,4,4,2.99,35.0,3,Thanh Trì,4.342,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,1,4,4,2.99,35.0,3,Thanh Trì,4.342,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,1,4,4,2.99,35.0,3,Thanh Trì,4.342,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
Tây Nam,2.0,2,1,4,3,4.65,26.0,3,Đống Đa,37.161,6.27
Tây Nam,10.0,1,1,8,17,12.0,60.0,3,Hà Đông,8.021,6.27
Đông Nam,3.0,1,0,3,3,1.38,31.0,3,Hà Đông,8.021,6.27
