Hướng,Đường trước nhà(m),Loại BDS,Pháp lý,Số lầu,Số phòng ngủ,Giá(Tỷ),Diện tích(m2),Tỉnh/ Thành phố,Quận/ Huyện,Mật độ dân số (người/km²),GRDP(%)
_,30.0,1,1,6,6,10.5,60.0,3,Hà Đông,8.021,6.27
_,2.0,2,1,4,4,3.15,31.0,3,Hai Bà Trưng,29.474,6.27
_,10.0,1,1,8,8,43.8,112.0,3,Cầu Giấy,23.516,6.27
_,3.0,2,1,1,1,1.95,45.0,3,Cầu Giấy,23.516,6.27
_,15.0,1,1,2,6,36.0,154.0,3,Hoàn Kiếm,25.588,6.27
_,10.0,1,1,9,6,17.0,60.0,3,Cầu Giấy,23.516,6.27
_,8.0,2,1,5,5,11.5,79.0,3,Đống Đa,37.161,6.27
_,3.0,2,1,8,6,7.35,55.0,3,Ba Đình,24.119,6.27
_,4.0,2,1,5,5,5.0,54.0,3,Ba Đình,24.119,6.27
_,14.0,0,1,3,6,19.499,200.0,3,Hà Đông,8.021,6.27
_,3.0,2,1,5,3,3.4,30.0,3,Đống Đa,37.161,6.27
_,10.0,1,1,5,5,10.9,40.0,3,Hai Bà Trưng,29.474,6.27
_,12.0,1,0,7,10,25.9,76.0,3,Hai Bà Trưng,29.474,6.27
_,20.0,0,1,5,4,19.5,147.0,3,Nam Từ Liêm,8.364,6.27
_,6.0,2,0,5,3,3.5,31.0,3,Long Biên,5.394,6.27
_,3.0,2,0,5,3,3.2,40.0,3,Hoàng Mai,12.564,6.27
_,3.0,2,0,5,3,3.55,47.0,3,Hoàng Mai,12.564,6.27
_,3.0,2,0,5,3,3.3,48.0,3,Hoàng Mai,12.564,6.27
_,3.0,2,0,5,3,3.15,35.0,3,Hoàng Mai,12.564,6.27
_,3.0,2,0,5,3,3.1,40.0,3,Hoàng Mai,12.564,6.27
_,3.0,2,0,5,3,3.85,58.0,3,Hoàng Mai,12.564,6.27
_,3.0,2,0,5,3,38.5,65.0,3,Hoàng Mai,12.564,6.27
_,4.0,2,0,5,3,4.0,46.0,3,Hoàng Mai,12.564,6.27
_,6.0,2,1,4,4,7.0,55.0,3,Ba Đình,24.119,6.27
_,20.0,1,1,3,3,71.0,255.0,3,Tây Hồ,6.578,6.27
_,7.0,1,1,8,24,51.0,199.0,3,Tây Hồ,6.578,6.27
_,3.0,2,1,5,5,7.2,45.0,3,Đống Đa,37.161,6.27
_,3.0,2,1,4,4,3.9,40.0,3,Long Biên,5.394,6.27
_,6.0,0,1,1,1,22.5,80.0,3,Nam Từ Liêm,8.364,6.27
_,3.0,2,1,6,4,10.8,53.0,3,Tây Hồ,6.578,6.27
_,3.0,2,0,6,3,3.95,35.0,3,Thanh Trì,4.342,6.27
_,3.0,2,1,2,2,3.15,55.0,3,Hoàng Mai,12.564,6.27
_,2.0,2,1,5,3,3.85,34.0,3,Thanh Xuân,32.255,6.27
_,20.0,1,0,4,4,39.0,200.0,3,Hoàng Mai,12.564,6.27
_,6.0,2,1,8,30,53.0,195.0,3,Tây Hồ,6.578,6.27
_,3.0,1,0,4,3,2.68,35.0,3,Hà Đông,8.021,6.27
_,4.0,2,1,5,4,4.8,39.0,3,Hoàng Mai,12.564,6.27
_,6.0,2,1,5,3,5.0,25.0,3,Đống Đa,37.161,6.27
_,8.0,1,0,7,7,20.0,60.0,3,Cầu Giấy,23.516,6.27
_,12.0,0,1,5,2,28.0,93.0,3,Nam Từ Liêm,8.364,6.27
_,18.0,1,1,7,6,69.0,94.0,3,Hai Bà Trưng,29.474,6.27
_,8.0,2,1,5,4,16.0,55.0,3,Cầu Giấy,23.516,6.27
_,8.0,2,1,5,4,14.5,60.0,3,Cầu Giấy,23.516,6.27
_,10.0,2,1,4,4,13.0,84.0,3,Nam Từ Liêm,8.364,6.27
_,4.0,2,1,4,4,6.85,72.0,3,Cầu Giấy,23.516,6.27
_,3.0,2,1,4,5,5.0,51.0,3,Đống Đa,37.161,6.27
_,5.0,1,1,5,4,4.8,42.0,3,Long Biên,5.394,6.27
_,10.0,0,1,6,6,13.86,60.0,3,Thanh Xuân,32.255,6.27
_,4.0,2,0,4,4,11.0,75.0,3,Thanh Xuân,32.255,6.27
_,4.0,2,1,4,3,3.38,35.0,3,Nam Từ Liêm,8.364,6.27
_,12.0,1,1,4,4,27.9,138.0,3,Tây Hồ,6.578,6.27
_,3.0,2,1,3,4,3.73,55.0,3,Thanh Trì,4.342,6.27
_,2.0,2,1,4,3,2.05,13.0,3,Hai Bà Trưng,29.474,6.27
_,5.0,1,1,4,3,8.0,43.0,3,Hai Bà Trưng,29.474,6.27
_,10.0,1,0,7,7,0.2,190.0,3,Đống Đa,37.161,6.27
_,6.0,2,1,2,2,7.9,55.0,3,Cầu Giấy,23.516,6.27
_,7.0,1,1,4,4,12.5,54.0,3,Cầu Giấy,23.516,6.27
_,3.0,2,1,5,3,2.23,35.0,3,Hoài Đức,3.094,6.27
_,3.0,2,1,6,4,6.0,38.0,3,Hai Bà Trưng,29.474,6.27
_,64.0,0,1,5,10,78.0,175.0,3,Tây Hồ,6.578,6.27
_,65.0,1,1,9,1,259.0,365.0,3,Cầu Giấy,23.516,6.27
_,9.0,1,1,5,4,8.5,44.0,3,Nam Từ Liêm,8.364,6.27
_,7.0,1,1,4,4,9.3,75.0,3,Thanh Xuân,32.255,6.27
_,25.0,1,1,3,6,16.7,128.0,3,Thanh Xuân,32.255,6.27
_,35.0,1,1,6,5,20.0,53.0,3,Thanh Xuân,32.255,6.27
_,13.0,0,1,5,4,9.3,75.0,3,Nam Từ Liêm,8.364,6.27
_,20.0,1,1,4,4,16.25,125.0,3,Hà Đông,8.021,6.27
_,40.0,1,1,5,4,28.5,75.0,3,Thanh Xuân,32.255,6.27
_,12.0,1,1,4,4,9.2,75.0,3,Hà Đông,8.021,6.27
_,9.0,1,1,3,5,9.3,120.0,3,Thanh Xuân,32.255,6.27
_,20.0,1,1,4,4,12.0,82.0,3,Hà Đông,8.021,6.27
_,15.0,0,1,4,4,10.0,70.0,3,Hà Đông,8.021,6.27
_,30.0,1,1,2,2,11.0,53.0,3,Hà Đông,8.021,6.27
_,13.0,0,0,6,4,11.0,50.0,3,Hà Đông,8.021,6.27
_,13.0,0,0,4,4,8.2,77.0,3,Hà Đông,8.021,6.27
_,20.0,1,0,5,4,8.0,52.0,3,Hà Đông,8.021,6.27
_,30.0,1,1,4,3,27.2,63.0,3,Long Biên,5.394,6.27
_,3.0,2,0,3,2,1.85,20.0,3,Đống Đa,37.161,6.27
_,20.0,1,1,9,9,0.09,1.0,3,Đống Đa,37.161,6.27
_,8.0,1,1,3,9,0.023,100.0,3,Hai Bà Trưng,29.474,6.27
_,10.0,1,1,4,4,0.06,36.0,3,Hoàn Kiếm,25.588,6.27
_,10.0,1,1,3,3,0.07,80.0,3,Đống Đa,37.161,6.27
_,10.0,1,0,5,4,9.999,60.0,3,Cầu Giấy,23.516,6.27
_,3.0,1,1,6,4,5.98,43.0,3,Hoàng Mai,12.564,6.27
_,20.0,0,1,4,5,21.0,145.0,3,Đông Anh,2.186,6.27
_,6.0,1,1,6,4,22.0,68.0,3,Cầu Giấy,23.516,6.27
_,5.0,2,1,3,3,11.5,80.0,3,Long Biên,5.394,6.27
_,3.0,1,0,4,5,4.7,39.0,3,Hoàng Mai,12.564,6.27
_,6.0,1,0,5,4,11.0,55.0,3,Thanh Xuân,32.255,6.27
_,4.0,2,1,5,4,7.8,65.0,3,Ba Đình,24.119,6.27
_,4.0,2,1,4,3,3.8,35.0,3,Cầu Giấy,23.516,6.27
_,4.0,2,1,4,3,3.38,35.0,3,Nam Từ Liêm,8.364,6.27
_,4.0,2,1,4,4,4.3,38.0,3,Bắc Từ Liêm,7.529,6.27
_,4.0,2,1,4,3,3.4,27.0,3,Cầu Giấy,23.516,6.27
_,4.0,2,0,4,3,7.8,80.0,3,Hoàng Mai,12.564,6.27
_,3.0,2,1,5,6,4.39,53.0,3,Bắc Từ Liêm,7.529,6.27
_,20.0,1,1,5,6,10.5,83.0,3,Hà Đông,8.021,6.27
_,21.0,0,1,4,6,16.8,200.0,3,Hà Đông,8.021,6.27
_,15.0,0,1,4,6,23.0,120.0,3,Hoàng Mai,12.564,6.27
_,20.0,1,1,6,6,33.0,113.0,3,Hà Đông,8.021,6.27
_,25.0,0,1,4,4,23.0,87.0,3,Hoàng Mai,12.564,6.27
_,9.0,2,1,4,6,19.5,134.0,3,Hai Bà Trưng,29.474,6.27
_,15.0,1,1,6,6,17.6,65.0,3,Thanh Xuân,32.255,6.27
_,12.0,0,1,7,6,23.0,69.0,3,Cầu Giấy,23.516,6.27
_,12.0,1,1,5,4,17.5,90.0,3,Hai Bà Trưng,29.474,6.27
_,15.0,0,1,5,6,22.0,106.0,3,Cầu Giấy,23.516,6.27
_,50.0,1,1,8,6,35.0,176.0,3,Hoàng Mai,12.564,6.27
_,20.0,0,1,4,4,27.0,121.0,3,Hoàng Mai,12.564,6.27
_,5.0,1,1,7,42,160.0,220.0,3,Hoàn Kiếm,25.588,6.27
_,15.0,1,1,5,6,72.0,320.0,3,Tây Hồ,6.578,6.27
_,25.0,1,1,4,6,90.0,350.0,3,Đống Đa,37.161,6.27
_,32.0,1,1,5,5,73.0,150.0,3,Đống Đa,37.161,6.27
_,20.0,0,1,4,5,24.0,148.0,3,Nam Từ Liêm,8.364,6.27
_,5.0,1,1,4,4,15.0,250.0,3,Ba Đình,24.119,6.27
_,64.0,1,1,4,6,55.9,195.0,3,Cầu Giấy,23.516,6.27
_,65.0,1,1,9,1,259.0,365.0,3,Cầu Giấy,23.516,6.27
_,64.0,0,1,5,10,78.0,175.0,3,Tây Hồ,6.578,6.27
_,5.0,1,1,5,3,7.0,34.0,3,Đống Đa,37.161,6.27
_,4.0,1,1,6,4,15.2,75.0,3,Đống Đa,37.161,6.27
_,4.0,2,1,5,4,12.3,50.0,3,Cầu Giấy,23.516,6.27
_,30.0,1,1,9,4,18.6,45.0,3,Hai Bà Trưng,29.474,6.27
_,5.0,2,0,5,3,8.9,48.0,3,Hoàng Mai,12.564,6.27
_,4.0,2,0,3,2,7.3,45.0,3,Hoàng Mai,12.564,6.27
_,15.0,1,1,5,4,22.0,63.0,3,Cầu Giấy,23.516,6.27
_,5.0,2,0,4,4,5.35,45.0,3,Đống Đa,37.161,6.27
_,6.0,1,1,8,8,24.8,102.0,3,Thanh Xuân,32.255,6.27
_,6.0,2,0,6,5,22.0,57.0,3,Hoàn Kiếm,25.588,6.27
_,20.0,0,0,5,5,36.0,166.0,3,Long Biên,5.394,6.27
_,8.0,2,0,4,4,6.25,46.0,3,Đống Đa,37.161,6.27
_,4.0,2,0,4,4,5.45,50.0,3,Đống Đa,37.161,6.27
_,6.0,1,1,5,7,10.5,45.0,3,Đống Đa,37.161,6.27
_,3.0,2,1,6,5,5.8,35.0,3,Hai Bà Trưng,29.474,6.27
_,10.0,1,0,5,6,4.95,50.0,3,Hà Đông,8.021,6.27
_,12.0,0,1,5,4,6.05,50.0,3,Hà Đông,8.021,6.27
_,3.0,2,0,3,3,3.42,78.0,3,Đông Anh,2.186,6.27
_,10.0,0,0,3,4,14.0,232.0,3,Đông Anh,2.186,6.27
_,3.0,2,0,3,2,2.95,50.0,3,Đông Anh,2.186,6.27
_,4.0,1,1,4,4,12.8,75.0,3,Đống Đa,37.161,6.27
