Hướng,Đường trước nhà(m),Loại BDS,Pháp lý,Số lầu,Số phòng ngủ,Giá(Tỷ),Diện tích(m2),Tỉnh/ Thành phố,Quận/ Huyện,Mật độ dân số (người/km²),GRDP(%)
_,30.0,1,1,5,5,46.0,180.0,7,Thủ Đức,4.791,5.81
_,10.0,2,1,3,4,11.0,82.0,7,Bình Thạnh,23.998,5.81
_,12.0,2,1,4,16,11.4,306.0,7,Gò Vấp,34.36,5.81
_,32.0,1,1,5,6,25.0,150.0,7,Quận 5,36.994,5.81
_,5.0,2,0,2,3,5.6,98.0,7,Quận 12,11.745,5.81
_,4.0,2,1,5,9,6.0,55.0,7,Bình Thạnh,23.998,5.81
_,5.0,2,0,2,3,5.3,52.0,7,Bình Thạnh,23.998,5.81
_,8.0,1,1,3,3,6.1,46.0,7,Bình Thạnh,23.998,5.81
_,30.0,1,1,1,4,22.0,220.0,7,Thủ Đức,4.791,5.81
_,5.0,1,1,1,2,2.1,59.0,7,Nhà Bè,2.06,5.81
_,7.0,2,1,4,5,6.3,48.0,7,Tân Phú,30.146,5.81
_,30.0,1,1,3,4,23.0,64.0,7,Quận 1,18.523,5.81
_,5.0,2,1,3,3,2.2,60.0,7,Gò Vấp,34.36,5.81
_,6.0,2,1,3,3,2.213,60.0,7,Phú Nhuận,33.461,5.81
_,10.0,2,1,3,3,6.5,46.0,7,Tân Phú,30.146,5.81
_,8.0,2,0,3,4,9.0,59.0,7,Quận 11,41.15,5.81
_,4.0,2,1,2,4,6.7,37.0,7,Bình Thạnh,23.998,5.81
_,5.0,2,0,2,4,10.5,130.0,7,Tân Bình,21.196,5.81
_,3.0,2,1,1,3,7.2,170.0,7,Quận 12,11.745,5.81
_,10.0,1,0,4,4,7.3,68.0,7,Thủ Đức,4.791,5.81
_,6.0,2,1,3,3,6.8,60.0,7,Bình Thạnh,23.998,5.81
_,6.0,2,1,3,4,9.3,125.0,7,Gò Vấp,34.36,5.81
_,8.0,2,1,2,3,18.0,290.0,7,Gò Vấp,34.36,5.81
_,8.0,2,1,5,8,8.1,65.0,7,Gò Vấp,34.36,5.81
_,50.0,1,0,2,2,2.85,20.0,7,Quận 4,41.745,5.81
_,3.0,2,0,3,4,3.9,47.0,7,Quận 4,41.745,5.81
_,4.0,2,0,5,6,5.95,62.0,7,Quận 4,41.745,5.81
_,4.0,2,1,2,3,4.6,50.0,7,Gò Vấp,34.36,5.81
_,10.0,1,0,2,5,30.0,130.0,7,Quận 10,41.196,5.81
_,6.0,2,1,3,3,7.5,65.0,7,Bình Thạnh,23.998,5.81
_,3.0,2,0,2,2,5.5,50.0,7,Bình Thạnh,23.998,5.81
_,8.0,2,0,2,2,10.5,92.0,7,Bình Thạnh,23.998,5.81
_,5.0,2,0,2,3,8.8,120.0,7,Bình Thạnh,23.998,5.81
_,12.0,1,0,2,2,0.065,500.0,7,Tân Bình,21.196,5.81
_,4.0,2,1,5,12,8.99,80.0,7,Gò Vấp,34.36,5.81
_,8.0,2,1,3,4,4.9,60.0,7,Nhà Bè,2.06,5.81
_,15.0,1,0,3,5,68.0,175.0,7,Quận 1,18.523,5.81
_,8.0,2,1,3,3,8.6,73.0,7,Bình Thạnh,23.998,5.81
_,20.0,1,1,3,4,27.0,40.0,7,Quận 1,18.523,5.81
_,6.0,2,1,4,5,7.4,70.0,7,Tân Phú,30.146,5.81
_,10.0,2,1,5,5,13.9,80.0,7,Bình Thạnh,23.998,5.81
_,6.0,2,1,3,4,6.5,72.0,7,Bình Tân,15.109,5.81
_,20.0,1,0,2,3,260.0,740.0,7,Quận 3,38.852,5.81
_,6.0,0,1,4,5,19.5,120.0,7,Bình Thạnh,23.998,5.81
_,15.0,1,1,6,7,12.0,60.0,7,Bình Thạnh,23.998,5.81
_,15.0,1,1,2,2,8.45,50.0,7,Tân Bình,21.196,5.81
_,15.0,1,1,3,2,26.5,127.0,7,Quận 6,32.439,5.81
