Hướng,Đường trước nhà(m),Loại BDS,Pháp lý,Số lầu,Số phòng ngủ,Giá(Tỷ),Diện tích(m2),Tỉnh/ Thành phố,Quận/ Huyện,Mật độ dân số (người/km²),GRDP(%)
_,30.0,1,1,6,6,10.5,60.0,3,Hà Đông,8.021,6.27
_,15.0,1,1,3,4,9.1,91.0,8,Sơn Trà,2.483,2.58
_,30.0,1,1,5,5,46.0,180.0,7,Thủ Đức,4.791,5.81
_,10.0,2,1,3,4,11.0,82.0,7,Bình Thạnh,23.998,5.81
_,12.0,2,1,4,16,11.4,306.0,7,Gò Vấp,34.36,5.81
_,32.0,1,1,5,6,25.0,150.0,7,Quận 5,36.994,5.81
_,2.0,2,1,4,4,3.15,31.0,3,Hai Bà Trưng,29.474,6.27
_,5.0,2,0,2,3,5.6,98.0,7,Quận 12,11.745,5.81
_,4.0,2,1,5,9,6.0,55.0,7,Bình Thạnh,23.998,5.81
_,5.0,2,0,2,3,5.3,52.0,7,Bình Thạnh,23.998,5.81
_,8.0,1,1,3,3,6.1,46.0,7,Bình Thạnh,23.998,5.81
_,30.0,1,1,1,4,22.0,220.0,7,Thủ Đức,4.791,5.81
_,5.0,1,1,1,2,2.1,59.0,7,Nhà Bè,2.06,5.81
_,7.0,2,1,4,5,6.3,48.0,7,Tân Phú,30.146,5.81
_,10.0,1,1,8,8,43.8,112.0,3,Cầu Giấy,23.516,6.27
_,3.0,2,1,1,1,1.95,45.0,3,Cầu Giấy,23.516,6.27
_,30.0,1,1,3,4,23.0,64.0,7,Quận 1,18.523,5.81
_,15.0,1,1,2,6,36.0,154.0,3,Hoàn Kiếm,25.588,6.27
_,5.0,2,1,3,3,2.2,60.0,7,Gò Vấp,34.36,5.81
_,6.0,2,1,3,3,2.213,60.0,7,Phú Nhuận,33.461,5.81
_,10.0,2,1,3,3,6.5,46.0,7,Tân Phú,30.146,5.81
_,8.0,2,0,3,4,9.0,59.0,7,Quận 11,41.15,5.81
_,10.0,1,1,9,6,17.0,60.0,3,Cầu Giấy,23.516,6.27
_,8.0,2,1,5,5,11.5,79.0,3,Đống Đa,37.161,6.27
_,3.0,2,1,8,6,7.35,55.0,3,Ba Đình,24.119,6.27
_,4.0,2,1,5,5,5.0,54.0,3,Ba Đình,24.119,6.27
_,4.0,2,1,2,4,6.7,37.0,7,Bình Thạnh,23.998,5.81
_,5.0,2,0,2,4,10.5,130.0,7,Tân Bình,21.196,5.81
_,14.0,0,1,3,6,19.499,200.0,3,Hà Đông,8.021,6.27
_,3.0,2,1,1,3,7.2,170.0,7,Quận 12,11.745,5.81
_,3.0,2,1,5,3,3.4,30.0,3,Đống Đa,37.161,6.27
_,10.0,1,1,5,5,10.9,40.0,3,Hai Bà Trưng,29.474,6.27
_,10.0,1,0,4,4,7.3,68.0,7,Thủ Đức,4.791,5.81
_,6.0,2,1,3,3,6.8,60.0,7,Bình Thạnh,23.998,5.81
_,12.0,1,0,7,10,25.9,76.0,3,Hai Bà Trưng,29.474,6.27
_,20.0,0,1,5,4,19.5,147.0,3,Nam Từ Liêm,8.364,6.27
_,6.0,2,0,5,3,3.5,31.0,3,Long Biên,5.394,6.27
_,6.0,2,1,3,4,9.3,125.0,7,Gò Vấp,34.36,5.81
_,8.0,2,1,2,3,18.0,290.0,7,Gò Vấp,34.36,5.81
_,8.0,2,1,5,8,8.1,65.0,7,Gò Vấp,34.36,5.81
_,3.0,2,0,5,3,3.2,40.0,3,Hoàng Mai,12.564,6.27
_,3.0,2,0,5,3,3.55,47.0,3,Hoàng Mai,12.564,6.27
_,3.0,2,0,5,3,3.3,48.0,3,Hoàng Mai,12.564,6.27
_,3.0,2,0,5,3,3.15,35.0,3,Hoàng Mai,12.564,6.27
_,3.0,2,0,5,3,3.1,40.0,3,Hoàng Mai,12.564,6.27
_,3.0,2,0,5,3,3.85,58.0,3,Hoàng Mai,12.564,6.27
