;Mã tin;Hướng;Phòng ăn;Loại tin;Đường trước nhà;Nhà bếp;Loại BDS;Pháp lý;Sân thượng;Chiều ngang;Số lầu;Chổ để xe hơi;Chiều dài;Số phòng ngủ;Chính chủ;Giá;Diện tích;Địa chỉ;Thuộc dự án;Unnamed: 0
0;13500983;_;;Cần bán;30m;;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;;7,5m;3;;26m;6;---; 31 tỷ ; 200 m2; Đường Võ Nguyên Giáp, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng;;
1;11516235;_;---;Cần bán;40m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;5m;3;---;22m;4;---; 19 tỷ ; 128 m2; Đường Phạm Văn Đồng, Phường Linh Tây, Thành phố Thủ Đức, Hồ Chí Minh;;
2;13532001;Nam;---;Cần bán;13m;---;Biệt thự, nhà liền kề;---;---;---;3;---;---;5;---; 13 tỷ ; 153 m2; Phường Hải Tân, Thành phố Hải Dương, Hải Dương;;
3;12547215;_;---;Cần bán;8m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;7,6m;3;---;14m;3;---; 17 tỷ ; 100 m2; Đường Số 14, Phường An Khánh, Thành phố Thủ Đức, Hồ Chí Minh;;
4;12325962;Tây Nam;---;Cần bán;30m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;30m;5;---;---;5;---; 120 tỷ ; 280 m2; Phố Trung Kính, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội;;
5;8558071;Đông Nam;---;Cần bán;10m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;11m;5;---;---;5;---; 45 tỷ ; 230 m2; Đường Nguyễn Tuân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội;;
6;8129652;Đông Nam;---;Cần bán;8m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;12m;4;---;---;6;---; 29 tỷ ; 216 m2; Đường Đại Lộ Thăng Long, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội;Khu đô thị mới Mễ Trì Thượng(xem chi tiết dự án);
7;5083995;Tây Bắc;---;Cần bán;10m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;15m;4;---;---;6;---; 99,5 tỷ ; 300 m2; Đường Trần Kim Xuyến, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội;;
8;2876015;Đông Nam;---;Cần bán;15m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;15m;5;---;---;6;---; 52 tỷ ; 201 m2; Đường Trần Kim Xuyến, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội;Khu đô thị mới Yên Hòa(xem chi tiết dự án);
9;9265117;Đông Nam;---;Cần bán;15m;---;Biệt thự, nhà liền kề;Sổ hồng/ Sổ đỏ;---;25m;4;---;---;6;---; 35 tỷ ; 750 m2; Đường Bãi Cháy, Phường Bãi Cháy, Thành phố Hạ Long, Quảng Ninh;;
