;Mã tin;Hướng;Phòng ăn;Loại tin;Đường trước nhà;Nhà bếp;Loại BDS;Pháp lý;Sân thượng;Chiều ngang;Số lầu;Chổ để xe hơi;Chiều dài;Số phòng ngủ;Chính chủ;Giá;Diện tích;Địa chỉ;Thuộc dự án;Unnamed: 0
0;13279679;Đông Nam;---;Cần bán;16m;---;Đất thổ cư, đất ở;Sổ hồng/ Sổ đỏ;---;5m;---;---;24m;---;---; 1,335 tỷ ; 123 m2; Đường Nguyễn Văn Khạ, Xã Trung Lập Hạ, Huyện Củ Chi, Hồ Chí Minh;;
1;13562276;_;---;Cần bán;30m;---;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;---;---;6;---;---;6;---; 10,5 tỷ ; 60 m2; Đường Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội;;
2;13562258;_;---;Cần bán;10m;---;Đất nền, liền kề, đất dự án;Sổ hồng/ Sổ đỏ;---;5m;---;---;---;---;---; 1,7 tỷ ; 100 m2; Đường Nguyễn Văn Cừ, Phường Hương Mạc, Thành phố Từ Sơn, Bắc Ninh;Khu dân cư Bảo Long New City(xem chi tiết dự án);
3;13441559;_;---;Cần bán;1,6m;---;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;---;8m;1;---;---;2;---; 1,95 tỷ ; 41 m2; Đường Nguyễn Thái Học, Phường Ngô Mây, Thành phố Quy Nhơn, Bình Định;;
4;13132162;Tây Nam;---;Cần bán;30m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;---;6m;1;;40m;1;---; 5,3 tỷ ; 245 m2; 86 Quốc lộ 1A, Xã Bình Minh, Huyện Trảng Bom, Đồng Nai;;
5;13561038;_;;Cần bán;15m;;Nhà mặt tiền;Giấy tờ hợp lệ;;5m;3;;18m;4;---; 9,1 tỷ ; 91 m2; Đường Nguyễn Thị Định, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng;;
6;13561543;_;;Cần bán;30m;;Nhà mặt tiền;Sổ hồng/ Sổ đỏ;;6m;5;;30m;5;---; 46 tỷ ; 180 m2; Đường Lê Văn Việt, Phường Tăng Nhơn Phú B, Thành phố Thủ Đức, Hồ Chí Minh;;
7;13561498;_;---;Cần bán;10m;---;Nhà trong hẻm;Sổ hồng/ Sổ đỏ;---;4m;3;---;21m;4;---; 11 tỷ ; 82 m2; Đường Đinh Tiên Hoàng, Phường 3, Quận Bình Thạnh, Hồ Chí Minh;;
8;13238443;Đông;---;Cần bán;2m;---;Đất thổ cư, đất ở;Sổ hồng/ Sổ đỏ;---;7m;---;---;10,9m;---;---; 830 triệu ; 76 m2; Đường ĐT 826, Xã Long Trạch, Huyện Cần Đước, Long An;;
9;12959859;_;---;Cần bán;5m;---;Đất thổ cư, đất ở;Sổ hồng/ Sổ đỏ;---;7m;---;---;22m;---;---; 800 triệu ; 140 m2; Đường Phạm Thị Giây, Xã Thới Tam Thôn, Huyện Hóc Môn, Hồ Chí Minh;;
10;13474887;_;---;Cần bán;---;---;Nhà mặt tiền;---;---;---;---;---;---;---;---; 3,2 tỷ ; 87 m2; Đường Bà Triệu, Phường 3, Thành phố Cao Lãnh, Đồng Tháp;;
